container	host_ip	host_port	container_port	proto
mysql	127.0.0.1	3307	3306	tcp
jarvis-fifth-dgm	127.0.0.1	4002	4002	tcp
ipfs	127.0.0.1	5001	5001	tcp
jarvis-rag-router	127.0.0.1	5015	5001	tcp
jarvis-local-resources-db	127.0.0.1	5435	5432	tcp
jarvis-redis	127.0.0.1	6380	6379	tcp
jarvis-woah	127.0.0.1	7012	7012	tcp
jarvis-gbim-query-router	127.0.0.1	7205	7205	tcp
jarvis-gbim-benefit-indexer	127.0.0.1	7206	7206	tcp
jarvis-ms-coordinator	127.0.0.1	7300	7300	tcp
neo4j	127.0.0.1	7475	7474	tcp
neo4j	127.0.0.1	7687	7687	tcp
jarvis-unified-gateway	127.0.0.1	8001	8001	tcp
125f2e53d146_jarvis-chroma	127.0.0.1	8002	8000	tcp
jarvis-gis-rag	127.0.0.1	8004	8004	tcp
jarvis-spiritual-rag	127.0.0.1	8005	8005	tcp
jarvis-local-resources	127.0.0.1	8006	8006	tcp
jarvis-intake-service	127.0.0.1	8007	8007	tcp
jarvis-20llm-production	127.0.0.1	8008	8008	tcp
jarvis-wv-entangled-gateway	127.0.0.1	8010	8010	tcp
jarvis-hippocampus	127.0.0.1	8011	8011	tcp
jarvis-steward	127.0.0.1	8014	8014	tcp
jarvis-nbb-i-containers-2	127.0.0.1	8015	8015	tcp
jarvis-blood-brain-barrier	0.0.0.0	8016	8016	tcp
jarvis-blood-brain-barrier	::	8016	8016	tcp
jarvis-psychology-services	127.0.0.1	8019	8019	tcp
jarvis-consciousness-bridge	127.0.0.1	8020	8020	tcp
jarvis-toroidal	127.0.0.1	8025	8025	tcp
jarvis-phi-probe	127.0.0.1	8026	8025	tcp
jarvis-semaphore	127.0.0.1	8030	8030	tcp
jarvis-aaacpe-rag	127.0.0.1	8032	8032	tcp
jarvis-aaacpe-scraper	127.0.0.1	8033	8033	tcp
jarvis-kyc-vault	127.0.0.1	8045	8045	tcp
jarvis-provenance	127.0.0.1	8046	8046	tcp
jarvis-main-brain	127.0.0.1	8050	8050	tcp
jarvis-memory	127.0.0.1	8056	8056	tcp
jarvis-session-sidecar	127.0.0.1	8060	8060	tcp
jarvis-eeg-delta	127.0.0.1	8073	8073	tcp
jarvis-eeg-theta	127.0.0.1	8074	8074	tcp
jarvis-eeg-beta	127.0.0.1	8075	8075	tcp
jarvis-stewardship-scheduler	127.0.0.1	8079	8079	tcp
jarvis-ms-indexer	127.0.0.1	8080	8080	tcp
jarvis-commons-gamification	127.0.0.1	8081	8081	tcp
